"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"574",574,291,1257,530,329,143,64,663,640,197,77,94
"575",575,286,1279,503,309,135,65,601,590,203,76,94
"576",576,292,1299,546,315,140,65,625,555,208,82,94
"577",577,246,1196,529,299,142,58,599,563,193,72,95
"578",578,259,1232,519,305,129,60,635,546,187,74,95
"579",579,246,1264,535,307,150,62,588,500,211,76,95
"580",580,296,1271,529,318,142,64,659,687,213,77,95
"581",581,252,1275,508,310,139,69,641,555,194,71,95
"582",582,267,1290,530,307,144,65,654,560,211,82,95
"583",583,369,1349,536,333,143,68,676,716,215,84,95
"584",584,387,1405,524,353,147,66,716,683,230,82,95
"585",585,205,1207,506,275,132,58,556,513,196,77,96
"586",586,244,1233,526,293,134,61,607,557,193,79,96
"587",587,211,1239,503,291,137,60,582,516,193,77,96
"588",588,260,1306,517,293,137,62,598,541,204,78,96
"589",589,275,1337,518,301,143,66,618,559,214,78,96
"590",590,225,1248,519,292,136,66,598,533,193,77,97
"591",591,243,1250,510,296,137,63,629,554,190,77,97
"592",592,254,1281,519,303,132,61,617,564,197,74,97
"593",593,288,1287,532,313,139,62,645,571,197,79,97
"594",594,270,1303,532,311,137,59,613,579,201,76,97
"595",595,267,1220,515,298,139,63,619,580,194,71,98
"596",596,280,1291,520,318,144,63,620,562,217,82,98
"597",597,295,1295,531,310,132,61,628,612,194,71,98
"598",598,344,1318,553,354,148,67,704,698,200,81,98
"599",599,320,1319,536,341,135,67,740,594,199,83,98
"600",600,224,1181,488,298,122,57,628,556,178,72,99
"601",601,224,1217,504,291,127,62,602,546,183,71,99
"602",602,233,1230,523,288,133,58,580,529,192,69,99
"603",603,243,1240,497,298,146,61,612,532,205,76,99
"604",604,388,1269,524,367,141,63,765,788,202,80,99
"605",605,241,1274,518,302,146,61,603,542,196,71,99
"606",606,249,1299,524,296,142,65,600,570,205,75,99
"607",607,196,1115,493,290,126,64,570,505,179,71,100
"608",608,200,1166,493,295,128,56,597,534,177,71,100
"609",609,252,1218,515,291,139,63,603,533,200,72,100
"610",610,266,1223,495,300,135,65,621,565,187,70,100
"611",611,287,1233,512,312,133,66,651,637,191,77,100
"612",612,277,1284,515,305,133,62,624,556,202,78,100
"613",613,316,1320,531,356,146,72,744,628,201,84,100
"614",614,423,1390,546,370,150,69,794,734,223,90,100
"615",615,229,1201,485,292,128,62,538,534,188,71,101
"616",616,237,1228,511,300,129,63,604,555,190,71,101
"617",617,235,1234,496,289,127,54,606,529,181,68,101
"618",618,220,1248,494,296,128,60,539,494,190,67,101
"619",619,321,1271,532,331,137,65,698,658,198,78,101
"620",620,286,1283,535,317,150,64,640,581,204,76,101
"621",621,272,1295,524,322,136,64,651,546,196,75,101
"622",622,372,1320,528,342,146,63,679,675,212,76,101
"623",623,267,1332,516,311,138,71,637,542,208,79,101
"624",624,240,1340,525,309,136,64,622,591,200,80,101
"625",625,542,1383,540,409,151,76,925,855,219,94,101
"626",626,239,1245,521,301,138,59,591,503,191,76,102
"627",627,218,1259,526,311,134,62,596,502,201,84,102
"628",628,268,1268,510,336,130,65,637,576,202,77,102
"629",629,269,1284,534,300,133,66,627,566,200,75,102
"630",630,274,1285,508,316,139,62,620,540,207,79,102
"631",631,282,1300,532,302,142,60,634,603,203,73,102
"632",632,304,1314,545,322,139,65,652,621,202,80,102
"633",633,275,1321,503,312,143,66,617,535,208,79,102
"634",634,327,1322,540,334,140,66,681,644,207,82,102
"635",635,405,1364,533,340,151,64,757,738,218,92,102
"636",636,231,1239,491,305,140,59,614,534,192,70,103
"637",637,260,1241,531,316,124,65,647,565,193,77,103
"638",638,256,1261,517,315,147,65,599,546,202,79,103
"639",639,232,1270,508,291,131,61,581,525,192,77,103
"640",640,270,1299,522,330,138,64,641,552,192,72,103
"641",641,270,1305,535,304,140,64,628,570,199,74,103
"642",642,310,1341,544,328,157,67,657,585,214,86,103
"643",643,306,1355,510,327,150,71,684,552,214,80,103
"644",644,418,1359,527,367,164,67,798,777,226,87,103
"645",645,369,1373,543,355,152,62,732,702,215,83,103
"646",646,378,1383,528,341,145,63,695,656,217,81,103
"647",647,307,1388,528,334,158,68,670,585,223,75,103
"648",648,379,1396,532,347,152,69,746,710,222,82,103
"649",649,230,1266,485,271,137,58,603,503,206,76,104
"650",650,245,1276,538,290,149,66,599,517,198,75,104
"651",651,313,1294,522,332,138,66,656,636,214,82,104
"652",652,298,1327,531,308,148,67,662,599,199,82,104
"653",653,257,1343,509,322,136,59,637,529,196,79,104
"654",654,404,1344,543,362,160,73,767,726,224,87,104
"655",655,305,1350,513,312,152,66,620,598,213,81,104
"656",656,326,1355,524,345,135,69,659,600,204,80,104
"657",657,292,1383,519,323,139,63,646,575,209,82,104
"658",658,326,1403,510,329,148,61,635,555,222,87,104
"659",659,415,1490,550,351,154,72,769,739,234,89,104
"660",660,244,1263,529,281,144,65,583,535,198,79,105
"661",661,220,1264,507,294,129,58,600,522,188,73,105
"662",662,233,1271,515,290,137,58,596,539,199,69,105
"663",663,307,1290,542,330,138,58,674,663,206,78,105
"664",664,292,1299,513,309,139,66,647,669,207,83,105
"665",665,312,1310,517,320,144,66,695,631,205,82,105
