"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"919",919,364,1485,513,340,166,73,704,605,233,88,128
"920",920,417,1533,538,368,161,70,748,690,226,83,128
"921",921,230,1335,486,292,142,63,570,513,198,77,129
"922",922,302,1411,520,322,156,68,663,542,217,83,129
"923",923,445,1433,534,363,155,71,780,735,232,82,129
"924",924,409,1453,537,338,146,78,706,690,221,84,129
"925",925,392,1462,510,349,158,74,724,662,221,82,129
"926",926,345,1469,531,324,168,74,675,568,234,86,129
"927",927,402,1490,540,353,152,74,749,646,230,91,129
"928",928,396,1508,521,346,177,78,715,631,253,97,129
"929",929,483,1516,542,373,172,78,768,712,237,92,129
"930",930,568,1528,544,417,178,81,890,861,235,88,129
"931",931,382,1606,540,327,175,73,723,609,236,84,129
"932",932,288,1324,558,313,141,64,653,571,208,79,130
"933",933,315,1330,529,353,152,67,692,601,212,77,130
"934",934,250,1347,494,301,132,64,620,528,194,73,130
"935",935,250,1364,504,304,145,64,618,543,217,80,130
"936",936,324,1366,502,325,143,65,652,599,212,77,130
"937",937,328,1385,539,320,154,68,671,602,225,85,130
"938",938,314,1415,506,342,157,67,675,603,231,82,130
"939",939,353,1421,562,333,151,63,698,595,218,85,130
"940",940,345,1506,536,337,163,68,655,600,235,78,130
"941",941,533,1520,537,389,188,84,809,682,243,108,130
"942",942,432,1524,545,348,166,73,725,673,235,91,130
"943",943,548,1563,568,418,174,79,821,702,256,100,130
"944",944,603,1563,559,416,165,74,914,864,222,94,130
"945",945,238,1263,489,309,140,61,622,564,192,72,131
"946",946,315,1346,521,340,153,65,700,597,216,84,131
"947",947,417,1377,541,383,148,67,715,700,215,82,131
"948",948,381,1405,516,328,158,71,680,582,222,85,131
"949",949,324,1422,503,328,153,71,658,591,222,91,131
"950",950,403,1422,505,358,153,65,733,697,215,83,131
"951",951,368,1425,516,349,157,73,713,645,219,85,131
"952",952,310,1426,526,324,150,68,646,558,221,87,131
"953",953,400,1455,548,350,152,69,770,679,214,81,131
"954",954,288,1464,499,305,147,66,615,544,215,82,131
"955",955,359,1540,525,355,163,74,713,663,221,88,131
"956",956,332,1380,499,340,155,60,719,638,219,82,132
"957",957,309,1410,536,317,149,62,690,593,216,81,132
"958",958,351,1437,555,346,162,70,705,621,221,84,132
"959",959,355,1441,519,342,165,75,689,587,245,89,132
"960",960,320,1444,510,339,151,66,678,582,221,75,132
"961",961,393,1469,537,361,162,74,732,674,234,87,132
"962",962,414,1499,582,350,169,72,732,633,232,77,132
"963",963,478,1520,524,367,170,72,788,710,244,92,132
"964",964,302,1336,518,309,151,72,642,577,214,81,133
"965",965,375,1383,528,329,148,64,724,707,215,82,133
"966",966,375,1401,532,344,163,72,737,661,215,84,133
"967",967,289,1411,521,334,147,65,688,575,209,77,133
"968",968,391,1415,521,344,153,68,727,682,235,86,133
"969",969,602,1417,545,419,159,70,872,923,222,86,133
"970",970,413,1448,552,345,157,77,735,644,228,90,133
"971",971,321,1475,517,324,157,70,681,629,226,76,133
"972",972,558,1527,521,385,169,75,827,792,251,96,133
"973",973,455,1530,528,375,161,74,781,708,225,96,133
"974",974,327,1343,533,334,157,65,686,632,215,85,134
"975",975,336,1350,551,328,146,68,694,591,200,90,134
"976",976,353,1378,526,341,157,70,688,595,222,88,134
"977",977,309,1383,522,315,143,62,665,593,205,78,134
"978",978,344,1413,535,340,142,66,685,591,211,77,134
"979",979,324,1435,506,317,157,72,666,559,224,87,134
"980",980,318,1435,519,324,147,65,658,599,229,75,134
"981",981,393,1445,531,362,160,70,722,639,225,78,134
"982",982,390,1473,529,348,157,67,686,698,223,80,134
"983",983,549,1484,573,407,167,74,868,878,229,92,134
"984",984,369,1489,535,337,160,70,685,646,225,90,134
"985",985,389,1515,536,344,167,72,726,660,231,89,134
"986",986,295,1373,512,322,147,62,615,596,220,76,135
"987",987,360,1405,533,362,146,67,713,681,226,84,135
"988",988,363,1426,530,332,151,68,706,581,205,83,135
"989",989,273,1442,516,307,162,73,616,530,223,74,135
"990",990,317,1448,504,327,149,66,666,575,207,76,135
"991",991,415,1454,531,347,154,67,707,709,212,98,135
"992",992,373,1458,524,349,162,66,700,612,223,77,135
"993",993,393,1470,528,349,154,70,721,657,217,88,135
"994",994,424,1473,511,354,153,83,736,698,223,102,135
"995",995,449,1497,547,365,163,73,779,640,218,87,135
"996",996,453,1497,563,374,167,77,767,710,243,93,135
"997",997,659,1509,563,460,164,75,961,899,252,96,135
"998",998,251,1321,504,294,146,69,632,541,208,84,136
"999",999,294,1334,518,319,150,59,618,609,208,78,136
"1000",1000,305,1335,521,317,149,65,647,576,216,84,136
"1001",1001,332,1361,543,317,140,66,715,580,210,86,136
"1002",1002,343,1397,522,327,139,64,705,638,204,77,136
"1003",1003,339,1403,531,323,160,72,687,576,213,82,136
"1004",1004,265,1426,513,314,148,67,656,577,223,82,136
"1005",1005,306,1438,520,311,145,63,642,568,216,73,136
"1006",1006,323,1459,510,334,162,74,681,568,211,91,136
"1007",1007,364,1494,531,328,167,70,727,605,232,87,136
"1008",1008,352,1498,538,326,154,73,691,577,230,95,136
"1009",1009,352,1548,509,326,163,72,689,596,246,89,136
"1010",1010,505,1581,529,392,168,74,808,786,238,94,136
"1011",1011,800,1602,550,472,175,77,1025,951,227,98,136
"1012",1012,368,1480,529,345,164,74,683,606,245,92,137
"1013",1013,339,1486,531,362,158,68,692,615,217,82,137
"1014",1014,466,1489,559,380,164,79,771,662,245,92,137
"1015",1015,526,1508,552,420,165,71,818,760,241,90,137
"1016",1016,392,1528,535,366,164,71,734,644,226,82,137
"1017",1017,381,1544,530,337,155,78,684,587,240,89,137
"1018",1018,420,1544,551,370,171,75,699,640,232,88,137
"1019",1019,448,1550,542,388,175,77,749,699,256,101,137
"1020",1020,508,1611,580,390,185,77,835,686,250,93,137
"1021",1021,278,1372,532,321,153,69,655,547,212,79,138
"1022",1022,312,1380,538,324,144,71,710,615,218,83,138
"1023",1023,312,1381,531,316,145,64,662,588,210,81,138
"1024",1024,336,1382,520,335,152,71,674,610,223,88,138
"1025",1025,333,1398,511,343,152,69,733,608,212,78,138
"1026",1026,281,1410,525,316,141,66,688,572,208,76,138
"1027",1027,338,1415,540,317,147,67,662,567,220,81,138
"1028",1028,483,1451,521,386,168,70,830,744,228,91,138
"1029",1029,364,1484,534,342,160,74,713,619,225,86,138
"1030",1030,405,1490,530,367,170,74,746,654,226,83,138
"1031",1031,500,1503,524,388,150,76,842,773,235,95,138
"1032",1032,425,1554,547,374,163,76,743,647,233,97,138
"1033",1033,284,1368,512,333,144,63,652,566,218,77,139
"1034",1034,332,1418,485,303,157,67,634,610,228,88,139
"1035",1035,334,1421,505,310,155,68,639,555,225,83,139
"1036",1036,369,1466,542,343,158,74,696,588,228,80,139
"1037",1037,391,1476,525,359,182,73,723,646,240,84,139
"1038",1038,366,1491,554,325,160,75,673,609,238,88,139
"1039",1039,354,1513,528,325,173,75,694,612,235,93,139
"1040",1040,472,1538,518,371,168,78,777,682,233,93,139
"1041",1041,470,1561,529,389,172,78,750,668,245,89,139
"1042",1042,446,1580,555,366,180,77,778,718,233,90,139
"1043",1043,515,1590,562,392,169,73,819,738,236,84,139
"1044",1044,324,1363,524,324,147,64,635,555,211,70,140
"1045",1045,294,1372,533,322,149,64,673,558,212,72,140
"1046",1046,355,1409,527,337,146,66,681,662,217,73,140
"1047",1047,350,1417,516,343,152,60,707,611,214,79,140
"1048",1048,492,1421,544,384,158,67,822,783,227,81,140
"1049",1049,512,1439,522,399,156,68,878,852,215,87,140
"1050",1050,400,1505,535,345,164,75,713,589,225,88,140
"1051",1051,436,1508,518,349,160,67,769,728,219,81,140
"1052",1052,431,1513,512,353,158,75,740,649,233,91,140
"1053",1053,526,1669,545,360,175,75,784,630,242,96,140
"1054",1054,303,1395,504,320,147,65,644,585,217,82,141
"1055",1055,329,1442,529,333,154,65,684,578,214,78,141
"1056",1056,376,1483,525,352,163,76,732,642,225,87,141
"1057",1057,595,1508,537,394,158,79,845,843,230,94,141
"1058",1058,408,1547,538,360,168,73,758,612,244,92,141
"1059",1059,312,1376,532,332,151,65,672,585,210,83,142
"1060",1060,293,1417,510,317,155,68,666,570,223,80,142
"1061",1061,353,1420,526,363,155,69,729,625,222,86,142
"1062",1062,333,1462,519,328,161,77,648,585,227,80,142
"1063",1063,393,1472,528,351,163,73,726,629,230,95,142
"1064",1064,433,1490,526,374,165,71,750,681,249,89,142
"1065",1065,450,1504,537,365,163,67,780,767,230,91,142
"1066",1066,407,1533,532,354,169,71,806,712,247,91,142
"1067",1067,428,1546,532,349,170,74,751,653,240,94,142
"1068",1068,470,1551,555,385,174,78,784,644,235,96,142
"1069",1069,649,1567,553,416,174,79,861,843,248,97,142
"1070",1070,395,1570,515,338,174,73,737,614,234,93,142
"1071",1071,514,1690,564,381,175,79,823,664,249,95,142
"1072",1072,322,1374,505,330,150,65,678,644,218,81,143
"1073",1073,433,1451,529,358,141,70,725,649,225,92,143
"1074",1074,355,1456,532,327,159,72,679,594,219,86,143
"1075",1075,326,1456,528,314,162,65,641,562,227,80,143
"1076",1076,352,1459,543,332,160,69,680,594,233,86,143
"1077",1077,355,1480,516,345,151,72,713,647,228,84,143
"1078",1078,386,1493,551,340,164,75,715,638,226,94,143
"1079",1079,425,1494,533,386,156,79,786,696,232,94,143
"1080",1080,399,1516,528,362,161,75,725,625,240,86,143
"1081",1081,373,1519,507,340,158,70,691,662,227,89,143
"1082",1082,401,1521,538,343,171,70,705,676,244,83,143
"1083",1083,458,1547,547,373,175,78,734,730,245,98,143
"1084",1084,475,1552,520,402,175,81,792,784,246,96,143
"1085",1085,385,1560,515,351,166,71,742,640,237,91,143
"1086",1086,317,1469,528,322,157,69,693,581,228,85,144
"1087",1087,348,1489,500,313,161,70,647,581,209,86,144
"1088",1088,474,1492,522,387,161,75,810,763,245,95,144
"1089",1089,525,1529,551,388,164,75,787,681,225,91,144
"1090",1090,430,1544,555,366,153,67,746,605,222,87,144
"1091",1091,459,1553,545,374,176,74,757,658,244,97,144
"1092",1092,576,1554,524,403,161,67,849,799,245,91,144
"1093",1093,424,1599,539,338,181,73,744,665,250,88,144
"1094",1094,261,1375,496,296,155,70,625,534,221,79,145
"1095",1095,280,1385,523,306,148,73,618,511,213,89,145
"1096",1096,295,1397,531,298,152,65,658,593,209,79,145
"1097",1097,371,1422,536,354,160,69,692,641,225,90,145
"1098",1098,298,1425,519,320,154,67,675,604,214,81,145
"1099",1099,400,1505,555,353,175,75,725,662,235,84,145
"1100",1100,496,1520,566,425,171,77,869,783,260,91,145
"1101",1101,422,1522,521,377,160,73,771,678,232,88,145
"1102",1102,365,1533,530,341,166,73,681,592,243,90,145
"1103",1103,459,1537,539,348,168,74,726,611,234,85,145
"1104",1104,494,1558,550,378,170,74,763,721,229,88,145
"1105",1105,549,1595,530,408,169,72,847,702,237,87,145
"1106",1106,485,1599,534,381,185,79,766,701,249,92,145
"1107",1107,367,1478,514,331,161,71,670,613,230,88,146
"1108",1108,357,1488,522,335,167,73,698,603,228,89,146
"1109",1109,341,1493,550,329,157,68,697,587,223,87,146
"1110",1110,545,1506,542,393,162,67,898,903,245,90,146
"1111",1111,433,1507,551,368,167,70,775,689,224,83,146
"1112",1112,396,1512,515,353,167,75,739,638,235,93,146
"1113",1113,623,1517,547,400,161,76,868,891,239,97,146
"1114",1114,527,1540,542,359,164,69,829,731,229,94,146
"1115",1115,584,1542,561,450,170,75,846,842,250,95,146
"1116",1116,440,1552,558,362,177,79,731,677,239,85,146
"1117",1117,323,1437,522,323,154,65,667,606,217,80,147
"1118",1118,447,1469,541,390,163,77,784,703,234,91,147
"1119",1119,327,1490,510,317,158,71,671,554,231,87,147
"1120",1120,366,1492,518,340,173,72,714,597,232,85,147
"1121",1121,427,1494,570,379,167,73,775,673,232,89,147
"1122",1122,408,1511,559,367,163,73,742,624,235,87,147
"1123",1123,508,1522,554,377,177,75,795,732,235,88,147
"1124",1124,441,1552,549,357,164,73,745,639,229,92,147
"1125",1125,384,1572,555,344,174,72,681,618,245,85,147
"1126",1126,267,1354,497,307,152,65,650,572,213,82,148
"1127",1127,327,1415,525,318,161,70,648,576,217,88,148
"1128",1128,396,1437,515,349,163,72,731,660,231,85,148
"1129",1129,441,1438,536,365,156,73,767,700,225,88,148
"1130",1130,378,1458,536,345,152,67,717,603,214,81,148
"1131",1131,420,1482,537,359,164,73,740,703,225,85,148
"1132",1132,392,1483,545,347,177,71,716,609,239,87,148
"1133",1133,388,1501,538,361,169,74,739,605,238,82,148
"1134",1134,359,1528,547,355,160,73,712,612,234,82,148
"1135",1135,410,1556,530,382,172,77,767,611,233,94,148
"1136",1136,493,1601,533,385,165,74,812,679,231,88,148
"1137",1137,273,1333,511,304,150,65,631,524,198,75,149
"1138",1138,320,1449,521,336,166,66,649,578,231,84,149
"1139",1139,357,1467,532,334,151,73,693,586,214,78,149
"1140",1140,424,1476,531,370,161,68,751,629,225,89,149
"1141",1141,480,1506,547,361,169,80,779,692,236,95,149
"1142",1142,329,1526,495,332,157,70,650,547,218,87,149
"1143",1143,420,1572,536,349,168,76,711,632,236,87,149
"1144",1144,525,1574,515,374,164,74,828,725,251,90,149
"1145",1145,410,1589,523,355,171,74,731,615,234,79,149
"1146",1146,452,1600,536,346,177,73,722,653,232,90,149
"1147",1147,517,1643,530,366,168,79,760,664,235,91,149
"1148",1148,533,1666,522,380,197,78,805,692,272,96,149
"1149",1149,308,1404,497,331,157,73,676,622,207,75,150
"1150",1150,374,1469,524,340,163,69,694,662,230,81,150
"1151",1151,542,1494,515,398,155,73,839,761,215,89,150
"1152",1152,447,1532,550,367,170,74,800,666,246,88,150
"1153",1153,469,1539,537,370,174,76,760,664,242,85,150
"1154",1154,462,1543,535,382,173,82,780,758,251,100,150
"1155",1155,484,1563,600,395,176,77,799,695,241,94,150
"1156",1156,478,1565,534,364,174,82,745,677,224,94,150
"1157",1157,416,1574,551,341,176,77,730,675,245,93,150
"1158",1158,535,1598,548,379,169,79,779,626,223,98,150
"1159",1159,553,1608,552,401,177,78,809,742,245,90,150
"1160",1160,466,1608,549,387,165,67,795,662,242,88,150
"1161",1161,304,1361,511,323,150,64,662,602,212,80,151
"1162",1162,368,1446,509,344,154,69,710,649,214,85,151
"1163",1163,374,1456,525,349,168,65,710,576,235,79,151
"1164",1164,361,1456,513,323,164,72,684,609,225,84,151
"1165",1165,392,1476,534,360,167,75,752,665,233,86,151
"1166",1166,441,1500,526,355,162,73,729,687,237,96,151
"1167",1167,374,1514,559,331,171,71,703,610,233,98,151
"1168",1168,358,1526,538,373,159,77,715,641,236,90,151
"1169",1169,433,1535,526,365,170,72,765,641,234,89,151
"1170",1170,501,1554,575,377,174,80,819,709,237,92,151
"1171",1171,446,1556,538,361,168,70,748,727,235,89,151
"1172",1172,433,1569,542,361,162,70,748,656,226,92,151
"1173",1173,410,1572,529,347,173,76,708,642,240,90,151
"1174",1174,477,1597,572,339,169,77,762,634,242,90,151
"1175",1175,437,1622,545,352,176,73,738,665,244,93,151
"1176",1176,554,1658,547,371,179,77,797,671,255,95,151
"1177",1177,341,1399,508,356,157,70,713,646,216,90,152
"1178",1178,371,1447,506,369,147,73,727,626,213,88,152
"1179",1179,392,1466,531,350,158,76,702,634,224,87,152
"1180",1180,483,1468,528,359,156,70,778,732,232,93,152
"1181",1181,432,1515,514,363,171,80,724,612,238,92,152
"1182",1182,508,1561,565,395,175,74,814,699,234,89,152
"1183",1183,400,1563,522,347,154,80,700,570,225,89,152
"1184",1184,438,1576,525,373,179,82,747,632,237,93,152
"1185",1185,414,1578,547,358,163,68,722,617,224,86,152
"1186",1186,546,1584,546,397,168,75,821,771,228,87,152
"1187",1187,541,1591,530,403,169,76,804,760,242,90,152
"1188",1188,530,1616,543,378,183,77,790,691,259,99,152
"1189",1189,561,1634,555,385,169,77,814,711,239,87,152
"1190",1190,540,1656,516,391,176,76,804,682,241,97,152
"1191",1191,416,1439,529,384,162,72,738,761,233,93,153
"1192",1192,523,1502,536,384,155,80,800,755,221,95,153
"1193",1193,406,1506,528,361,172,71,749,641,245,81,153
"1194",1194,371,1512,536,338,185,79,688,622,261,86,153
"1195",1195,483,1539,545,349,155,65,732,649,230,84,153
"1196",1196,414,1546,536,367,172,77,765,641,232,84,153
"1197",1197,564,1560,545,423,167,68,874,767,232,89,153
"1198",1198,432,1576,547,391,169,82,746,644,235,92,153
"1199",1199,522,1583,557,377,171,80,800,670,246,97,153
"1200",1200,508,1599,521,378,168,76,761,714,223,96,153
"1201",1201,462,1620,550,387,184,79,765,678,251,100,153
"1202",1202,324,1407,504,329,161,70,685,617,216,84,154
"1203",1203,350,1451,510,338,161,79,702,603,219,87,154
"1204",1204,349,1455,524,355,161,72,710,633,215,83,154
"1205",1205,415,1480,543,366,174,77,746,659,226,86,154
"1206",1206,554,1495,542,393,168,74,859,799,231,94,154
"1207",1207,345,1500,522,331,159,72,680,648,224,74,154
"1208",1208,409,1505,539,351,169,75,714,633,234,85,154
"1209",1209,449,1538,520,377,174,70,788,670,235,86,154
"1210",1210,535,1556,534,399,169,77,781,659,246,95,154
"1211",1211,453,1572,532,385,174,75,802,648,235,92,154
"1212",1212,429,1586,528,363,178,77,743,669,243,91,154
"1213",1213,520,1590,512,390,158,67,803,692,235,90,154
"1214",1214,500,1602,533,391,174,78,804,658,241,87,154
"1215",1215,472,1617,540,380,172,75,771,662,238,91,154
"1216",1216,498,1625,556,356,176,77,743,693,243,92,154
"1217",1217,616,1636,555,410,183,77,846,756,265,94,154
"1218",1218,462,1645,535,380,177,81,788,677,239,99,154
"1219",1219,598,1646,552,398,184,76,854,762,250,95,154
"1220",1220,382,1406,518,349,151,66,720,648,216,84,155
"1221",1221,370,1493,504,341,157,71,689,569,239,86,155
"1222",1222,340,1498,531,344,155,66,662,616,222,83,155
"1223",1223,403,1551,511,362,169,75,733,629,248,85,155
"1224",1224,421,1559,530,340,163,70,699,612,229,87,155
"1225",1225,432,1575,535,366,172,79,740,633,238,92,155
"1226",1226,453,1578,529,373,173,79,769,643,231,89,155
"1227",1227,431,1583,552,370,168,72,771,664,239,92,155
"1228",1228,697,1595,536,414,164,77,878,868,224,85,155
"1229",1229,575,1624,545,392,173,73,858,692,223,91,155
"1230",1230,473,1636,549,368,183,78,767,667,251,95,155
"1231",1231,524,1667,563,387,192,78,776,643,265,88,155
"1232",1232,669,1696,543,413,179,78,861,802,250,95,155
"1233",1233,327,1401,526,338,154,74,704,564,218,83,156
"1234",1234,406,1450,537,372,159,73,804,628,229,89,156
"1235",1235,446,1500,551,383,156,77,772,660,229,89,156
"1236",1236,406,1515,532,345,172,73,738,619,211,92,156
"1237",1237,378,1530,521,373,164,72,722,632,226,85,156
"1238",1238,472,1540,549,368,160,74,739,718,219,85,156
"1239",1239,389,1543,528,371,179,74,730,619,246,92,156
"1240",1240,540,1556,538,403,175,80,815,705,245,99,156
"1241",1241,466,1568,549,367,168,75,742,706,228,87,156
"1242",1242,567,1591,559,366,173,72,789,725,239,90,156
"1243",1243,483,1622,538,389,177,79,763,652,245,104,156
"1244",1244,469,1634,552,367,177,81,781,689,237,94,156
"1245",1245,265,1341,481,305,148,72,606,530,211,85,157
"1246",1246,389,1473,519,342,162,67,757,617,218,86,157
"1247",1247,393,1508,555,358,152,68,735,649,222,79,157
"1248",1248,396,1510,522,336,159,75,723,657,226,96,157
"1249",1249,423,1526,541,380,158,76,765,628,234,89,157
"1250",1250,473,1535,536,378,158,66,801,650,222,88,157
"1251",1251,403,1536,512,339,164,70,742,636,232,83,157
"1252",1252,430,1546,533,377,173,75,758,674,248,92,157
"1253",1253,429,1564,524,365,180,82,748,660,236,91,157
"1254",1254,503,1576,531,379,173,77,785,680,241,97,157
"1255",1255,670,1602,577,417,169,82,891,784,248,101,157
"1256",1256,527,1651,543,397,183,79,808,710,248,92,157
"1257",1257,428,1689,532,353,201,77,745,575,256,93,157
"1258",1258,374,1474,516,335,159,71,712,644,215,89,158
"1259",1259,411,1479,526,373,170,73,777,673,224,87,158
"1260",1260,385,1510,508,377,157,67,735,632,216,81,158
"1261",1261,418,1545,551,349,166,69,708,710,233,88,158
"1262",1262,532,1577,563,381,176,74,801,716,252,96,158
"1263",1263,433,1602,539,366,168,78,753,585,231,88,158
"1264",1264,530,1604,533,404,176,76,800,733,236,82,158
"1265",1265,540,1659,559,402,189,82,798,695,257,103,158
"1266",1266,317,1422,508,325,151,70,679,578,212,82,159
"1267",1267,494,1483,515,388,163,74,804,721,215,86,159
"1268",1268,449,1501,539,374,151,68,759,623,215,82,159
"1269",1269,718,1531,575,400,187,84,888,831,259,104,159
"1270",1270,445,1545,535,371,162,63,743,680,219,79,159
"1271",1271,514,1550,556,377,170,78,812,708,227,89,159
"1272",1272,491,1558,531,389,158,73,777,711,220,93,159
"1273",1273,558,1568,552,402,163,78,821,725,228,102,159
"1274",1274,500,1585,533,365,169,74,777,637,232,96,159
"1275",1275,432,1601,540,367,171,76,763,605,240,89,159
"1276",1276,557,1603,540,391,182,78,816,720,232,87,159
"1277",1277,569,1607,569,392,172,76,838,760,237,89,159
"1278",1278,439,1610,533,361,171,73,732,615,238,89,159
"1279",1279,512,1660,546,373,178,80,754,645,241,94,159
"1280",1280,560,1667,534,387,185,78,802,706,253,96,159
"1281",1281,371,1461,542,340,161,73,720,610,243,90,160
"1282",1282,400,1468,512,353,159,75,711,652,232,96,160
"1283",1283,402,1497,548,335,168,79,688,608,234,86,160
"1284",1284,491,1533,539,391,178,82,809,695,233,87,160
"1285",1285,408,1538,561,346,170,76,737,614,244,90,160
"1286",1286,385,1547,525,342,167,70,696,648,223,88,160
"1287",1287,400,1547,559,342,170,73,702,619,234,95,160
"1288",1288,493,1551,546,393,165,72,819,729,227,88,160
"1289",1289,461,1584,539,359,166,74,759,657,228,90,160
"1290",1290,448,1602,530,377,167,76,777,670,238,92,160
"1291",1291,449,1608,538,358,170,70,741,656,234,88,160
"1292",1292,405,1635,556,351,170,75,669,611,238,92,160
"1293",1293,571,1657,558,392,177,77,829,661,251,97,160
"1294",1294,434,1473,546,359,150,71,755,700,223,94,161
"1295",1295,455,1533,521,343,168,79,747,627,237,90,161
"1296",1296,452,1581,543,367,169,77,764,648,241,97,161
"1297",1297,661,1611,562,407,172,75,848,829,233,92,161
"1298",1298,434,1630,536,356,170,70,738,633,229,92,161
"1299",1299,547,1651,558,403,185,77,826,756,254,94,161
"1300",1300,506,1696,549,345,187,75,759,657,254,94,161
"1301",1301,384,1354,508,369,165,72,767,719,213,78,162
"1302",1302,461,1466,542,357,172,77,728,622,241,96,162
"1303",1303,351,1493,538,389,159,77,728,641,235,89,162
"1304",1304,440,1502,550,360,159,74,782,644,234,89,162
"1305",1305,350,1509,502,334,169,76,747,617,225,80,162
"1306",1306,391,1512,504,338,172,76,701,639,219,96,162
"1307",1307,397,1552,529,346,160,73,699,606,219,85,162
"1308",1308,420,1567,542,357,176,75,788,635,232,90,162
"1309",1309,439,1577,545,383,168,74,742,678,232,87,162
"1310",1310,519,1611,567,353,180,81,760,753,240,97,162
"1311",1311,544,1628,541,383,169,74,804,740,226,94,162
"1312",1312,530,1639,560,398,175,76,778,674,256,101,162
"1313",1313,556,1647,532,393,178,77,825,694,243,97,162
"1314",1314,452,1690,520,373,183,81,736,686,253,79,162
"1315",1315,463,1522,559,368,168,75,767,634,232,98,163
"1316",1316,349,1550,536,355,166,69,682,577,235,86,163
"1317",1317,490,1554,550,362,159,72,790,690,241,97,163
"1318",1318,415,1573,530,359,166,75,709,640,238,91,163
"1319",1319,430,1573,532,371,167,72,709,629,224,80,163
"1320",1320,489,1597,528,363,167,76,729,693,240,91,163
"1321",1321,565,1603,510,381,168,76,821,718,238,92,163
"1322",1322,447,1626,533,341,177,70,722,644,231,87,163
"1323",1323,575,1661,570,362,175,82,792,710,239,97,163
"1324",1324,414,1684,521,339,169,77,727,629,247,83,163
"1325",1325,398,1459,530,344,163,71,732,652,218,86,164
"1326",1326,429,1471,540,363,162,73,765,685,209,84,164
"1327",1327,365,1514,530,373,163,72,733,621,230,87,164
"1328",1328,424,1518,531,346,153,67,717,665,216,80,164
"1329",1329,446,1572,521,347,176,75,735,673,230,84,164
"1330",1330,499,1578,532,396,173,78,775,664,250,102,164
"1331",1331,507,1580,551,392,175,75,805,738,235,88,164
"1332",1332,457,1581,535,359,167,71,749,611,236,92,164
"1333",1333,423,1585,536,343,168,71,705,645,237,86,164
"1334",1334,529,1587,549,388,170,78,839,704,236,86,164
"1335",1335,508,1615,539,373,169,76,781,729,236,93,164
"1336",1336,600,1671,557,403,182,79,829,807,246,94,164
"1337",1337,628,1681,544,405,175,77,822,780,246,95,164
"1338",1338,659,1685,573,424,188,82,870,784,244,98,164
"1339",1339,526,1697,531,397,190,82,799,753,269,103,164
"1340",1340,442,1475,542,379,157,71,845,666,214,83,165
"1341",1341,539,1500,559,396,168,74,841,803,229,92,165
"1342",1342,392,1510,532,346,167,70,704,618,242,91,165
"1343",1343,487,1554,522,375,161,71,811,689,224,95,165
"1344",1344,504,1555,537,378,178,81,789,662,232,93,165
"1345",1345,423,1577,551,351,167,80,713,630,246,91,165
"1346",1346,408,1589,546,364,167,71,734,627,233,85,165
"1347",1347,575,1593,521,424,168,72,880,728,234,94,165
"1348",1348,622,1675,540,427,168,77,866,717,244,96,165
"1349",1349,378,1485,540,361,164,75,692,626,227,89,166
"1350",1350,427,1536,533,356,165,66,727,623,237,83,166
"1351",1351,420,1552,532,368,155,70,753,665,228,84,166
"1352",1352,519,1586,516,387,169,74,786,681,238,96,166
"1353",1353,450,1610,533,365,173,69,755,623,231,79,166
"1354",1354,378,1438,542,337,159,70,728,615,219,79,167
"1355",1355,498,1544,520,403,172,72,800,732,233,94,167
"1356",1356,710,1598,574,421,174,78,882,937,261,98,167
"1357",1357,438,1613,530,363,194,82,744,635,259,100,167
"1358",1358,558,1618,549,402,182,80,859,723,243,98,167
"1359",1359,493,1644,544,379,172,71,804,726,231,93,167
"1360",1360,581,1688,544,381,184,69,790,717,253,96,167
"1361",1361,460,1490,543,362,166,74,780,641,239,95,168
"1362",1362,507,1497,520,366,154,70,793,798,235,93,168
"1363",1363,490,1515,553,409,167,77,868,675,222,90,168
"1364",1364,369,1536,556,354,181,79,680,579,243,91,168
"1365",1365,568,1568,562,396,172,77,830,724,232,94,168
"1366",1366,509,1580,527,387,172,76,855,701,232,88,168
"1367",1367,387,1580,546,333,156,68,711,574,234,89,168
"1368",1368,456,1596,549,357,165,73,758,633,231,93,168
"1369",1369,448,1607,538,372,174,78,732,615,242,87,168
"1370",1370,542,1607,551,424,182,79,873,722,266,72,168
"1371",1371,511,1611,539,378,172,76,787,748,237,89,168
"1372",1372,551,1595,535,376,173,77,756,722,250,99,169
"1373",1373,430,1601,547,379,170,71,763,648,221,84,169
"1374",1374,527,1652,538,371,184,79,803,675,247,89,169
"1375",1375,596,1655,531,406,178,79,878,716,241,99,169
"1376",1376,492,1669,537,392,184,80,810,659,244,94,169
"1377",1377,676,1743,559,464,184,80,915,931,260,99,169
"1378",1378,453,1519,541,357,159,73,730,672,222,89,170
"1379",1379,585,1579,558,416,171,76,840,747,232,97,170
"1380",1380,564,1581,546,410,170,74,804,746,239,89,170
"1381",1381,631,1593,527,420,163,75,833,816,227,95,170
"1382",1382,420,1596,534,374,163,74,726,636,230,90,170
"1383",1383,600,1625,545,395,162,72,821,712,234,92,170
"1384",1384,492,1631,556,364,169,71,769,621,245,91,170
"1385",1385,517,1638,566,377,166,72,752,670,230,89,170
"1386",1386,473,1553,521,370,165,72,772,703,239,83,171
