ID,Name,Sex,Age,Height,Weight,Team,Year,Season,Sport,Medal
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Gymnastics,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Gymnastics,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Gymnastics,Bronze
460,Viktor Andreyevich Aboimov,M,22,190,78,Soviet Union,1972,Summer,Swimming,Silver
460,Viktor Andreyevich Aboimov,M,22,190,78,Soviet Union,1972,Summer,Swimming,Bronze
465,"Matthew ""Matt"" Abood",M,30,197,92,Australia,2016,Summer,Swimming,Bronze
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87,Egypt,2012,Summer,Fencing,Silver
507,Attila brahm,M,21,192,88,Hungary,1988,Summer,Canoeing,Bronze
507,Attila brahm,M,21,192,88,Hungary,1988,Summer,Canoeing,Gold
507,Attila brahm,M,25,192,88,Hungary,1992,Summer,Canoeing,Silver
509,Gary Abraham,M,21,175,64,Great Britain,1980,Summer,Swimming,Bronze
514,Ara Abrahamian,M,29,191,84,Sweden,2004,Summer,Wrestling,Silver
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,1924,Summer,Athletics,Gold
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,1924,Summer,Athletics,Silver
527,Erik Adolf Efraim Abrahamsson,M,22,172,61,Sweden,1920,Summer,Athletics,Bronze
543,Pavel Sergeyevich Abramov,M,25,198,89,Russia,2004,Summer,Volleyball,Bronze
547,Nelli Mikhaylovna Abramova,F,24,171,60,Soviet Union,1964,Summer,Volleyball,Silver
548,Yekaterina Konstantinovna Abramova,F,23,167,65,Russia,2006,Winter,Speed Skating,Bronze
576,"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Spain,2016,Summer,Basketball,Bronze
580,Svetlana Olegovna Abrosimova,F,28,188,77,Russia,2008,Summer,Basketball,Bronze
582,Saypulla Atavovich Absaidov,M,22,168,68,Soviet Union,1980,Summer,Wrestling,Gold
583,Julien Absalon,M,23,180,68,France,2004,Summer,Cycling,Gold
583,Julien Absalon,M,27,180,68,France,2008,Summer,Cycling,Gold
608,Ahmad Abughaush,M,20,178,68,Jordan,2016,Summer,Taekwondo,Gold
610,Ginko Abukawa-Chiba,F,26,148,46,Japan,1964,Summer,Gymnastics,Bronze
618,Aleksandr Veniaminovich Abushakhmetov,M,25,189,81,Soviet Union,1980,Summer,Fencing,Bronze
619,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62,Soviet Union,1980,Summer,Wrestling,Gold
627,Andreea Roxana Acatrinei,F,16,150,40,Romania,2008,Summer,Gymnastics,Bronze
629,William Accambray,M,24,194,104,France,2012,Summer,Handball,Gold
634,Paul Accola,M,20,176,82,Switzerland,1988,Winter,Alpine Skiing,Bronze
646,Anibl Santiago Acevedo,M,21,176,67,Puerto Rico,1992,Summer,Boxing,Bronze
654,Daniel Aceves Villagrn,M,19,158,52,Mexico,1984,Summer,Wrestling,Silver
669,Joachim Yaw Acheampong,M,18,181,73,Ghana,1992,Summer,Football,Bronze
670,Alfred Achermann,M,24,176,75,Switzerland,1984,Summer,Cycling,Silver
673,Abdel Hak Achik,M,29,165,54,Morocco,1988,Summer,Boxing,Bronze
674,Mohamed Abdelhak Achik,M,27,174,57,Morocco,1992,Summer,Boxing,Bronze
680,Rita Nikolayevna Achkina,F,30,168,63,Soviet Union,1968,Winter,Cross Country Skiing,Bronze
690,Chantal Achterberg,F,27,172,72,Netherlands,2012,Summer,Rowing,Bronze
690,Chantal Achterberg,F,31,172,72,Netherlands,2016,Summer,Rowing,Silver
698,Paul Douglas Ackerley,M,27,179,68,New Zealand,1976,Summer,Hockey,Gold
702,Ronny Ackermann,M,24,184,69,Germany,2002,Winter,Nordic Combined,Silver
702,Ronny Ackermann,M,24,184,69,Germany,2002,Winter,Nordic Combined,Silver
702,Ronny Ackermann,M,28,184,69,Germany,2006,Winter,Nordic Combined,Silver
705,Donat Acklin,M,26,190,99,Switzerland-1,1992,Winter,Bobsleigh,Gold
705,Donat Acklin,M,26,190,99,Switzerland-1,1992,Winter,Bobsleigh,Bronze
705,Donat Acklin,M,28,190,99,Switzerland-1,1994,Winter,Bobsleigh,Gold
705,Donat Acklin,M,28,190,99,Switzerland-1,1994,Winter,Bobsleigh,Silver
706,Guido Acklin,M,24,200,104,Switzerland-2,1994,Winter,Bobsleigh,Silver
716,Lautaro Germn Acosta,M,20,168,72,Argentina,2008,Summer,Football,Gold
723,Osmay Acosta Duarte,M,23,188,91,Cuba,2008,Summer,Boxing,Bronze
745,Kazimierz Piotr Adach,M,23,162,60,Poland,1980,Summer,Boxing,Bronze
766,Ji Adam,M,25,187,83,Czechoslovakia,1976,Summer,Modern Pentathlon,Silver
772,"Michael B. ""Mike"" Adam",M,24,175,95,Canada,2006,Winter,Curling,Gold
785,Dariusz Adamczuk,M,22,179,78,Poland,1992,Summer,Football,Silver
807,"Benjamin Willard ""Ben"" Adams",M,22,188,78,United States,1912,Summer,Athletics,Silver
807,"Benjamin Willard ""Ben"" Adams",M,22,188,78,United States,1912,Summer,Athletics,Bronze
830,Adrian Neil Adams,M,21,178,78,Great Britain,1980,Summer,Judo,Silver
830,Adrian Neil Adams,M,25,178,78,Great Britain,1984,Summer,Judo,Silver
832,Nicola Virginia Adams,F,29,164,51,Great Britain,2012,Summer,Boxing,Gold
832,Nicola Virginia Adams,F,33,164,51,Great Britain,2016,Summer,Boxing,Gold
836,Platt Adams,M,27,188,78,United States,1912,Summer,Athletics,Gold
836,Platt Adams,M,27,188,78,United States,1912,Summer,Athletics,Silver
837,Rachael Alexis Adams,F,26,188,81,United States,2016,Summer,Volleyball,Bronze
840,"Victoria ""Vicki"" Adams",F,24,164,69,Great Britain,2014,Winter,Curling,Bronze
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,New Zealand,2008,Summer,Athletics,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,New Zealand,2012,Summer,Athletics,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,31,193,120,New Zealand,2016,Summer,Athletics,Silver
849,Filip Kamil Adamski,M,29,189,87,Germany,2012,Summer,Rowing,Gold
851,Jerzy Adamski,M,23,171,58,Poland,1960,Summer,Boxing,Silver
