title,series,author,rating,language,genres,pages,publisher,publish year,numRatings,likedPercent,price
The Game of Kings,The Lymond Chronicles #1,Dorothy Dunnett,4.14,English,"['Historical Fiction', 'Fiction', 'Historical', 'Scotland', 'Fantasy', 'Adventure', 'Romance', '16th Century', 'Novels', 'Classics']",543,Vintage,1997,8064,90,4.94
The Stars My Destination,,"Alfred Bester, Neil Gaiman (Goodreads Author) (Introduction)",4.1,English,"['Science Fiction', 'Fiction', 'Classics', 'Cyberpunk', 'Science Fiction Fantasy', 'Space Opera', 'Fantasy', 'Novels', 'Speculative Fiction', 'Space']",258,Vintage,1996,42354,94,7.01
Horns,,Joe Hill (Goodreads Author),3.92,English,"['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Mystery', 'Paranormal', 'Supernatural', 'Adult', 'Audiobook', 'Adult Fiction']",370,William Morrow,2010,101139,93,3.39
A Memory of Light,The Wheel of Time #14,"Robert Jordan, Brandon Sanderson (Goodreads Author)",4.5,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Epic', 'Adventure', 'Audiobook', 'Magic', 'Adult']",912,Tor Books,2013,108949,97,12.42
Obsidian Butterfly,"Anita Blake, Vampire Hunter #9",Laurell K. Hamilton (Goodreads Author),4.09,English,"['Urban Fantasy', 'Vampires', 'Paranormal', 'Fantasy', 'Romance', 'Horror', 'Paranormal Romance', 'Fiction', 'Supernatural', 'Werewolves']",585,Berkley Books,2002,60100,93,5.32
شجرتي شجرة البرتقال الرائعة,Zeze #1,"José Mauro de Vasconcelos, إيناس العباسي (Translator)",4.41,Arabic,"['Classics', 'Fiction', 'Novels', 'Childrens', 'Drama', 'Literature', 'Brazil', 'Roman', 'Romance', 'Portuguese Literature']",245,مسكيلياني للنشر والتوزيع,1905,33511,97,
The Tale of the Body Thief,The Vampire Chronicles #4,Anne Rice,3.73,English,"['Horror', 'Fantasy', 'Vampires', 'Fiction', 'Paranormal', 'Supernatural', 'Urban Fantasy', 'Gothic', 'Adult', 'Science Fiction Fantasy']",468,Ballantine Books,1905,79761,89,10.36
Never Too Far,Rosemary Beach #2,Abbi Glines (Goodreads Author),4.19,English,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Chick Lit', 'Adult', 'Erotica', 'Drama', 'Fiction']",193,Smashwords,2013,113658,95,
Lies,Gone #3,Michael Grant (Goodreads Author),4.09,English,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Paranormal', 'Horror', 'Adventure', 'Survival', 'Supernatural']",447,HarperCollins,2010,59983,94,3.43
Replay,,Ken Grimwood,4.16,English,"['Fiction', 'Science Fiction', 'Time Travel', 'Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Romance', 'Speculative Fiction', 'Adult', 'Novels']",311,William Morrow Paperbacks,1998,29514,95,0.85
Change of Heart,,Jodi Picoult (Goodreads Author),3.93,English,"['Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Drama', 'Adult', 'Realistic Fiction', 'Novels', 'Audiobook', 'Religion']",448,Atria Books,2008,104281,93,4.62
