title,series,author,rating,language,genres,pages,publisher,publish year,numRatings,likedPercent,price
The Hunger Games,The Hunger Games #1,Suzanne Collins,4.33,English,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",374,Scholastic Press,2008,6376780,96,5.09
Harry Potter and the Order of the Phoenix,Harry Potter #5,"J.K. Rowling, Mary GrandPré (Illustrator)",4.5,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",870,Scholastic Inc.,2004,2507623,98,7.38
To Kill a Mockingbird,To Kill a Mockingbird,Harper Lee,4.28,English,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']",324,Harper Perennial Modern Classics,2006,4501075,95,
Pride and Prejudice,,"Jane Austen, Anna Quindlen (Introduction)",4.26,English,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Historical Romance', 'Classic Literature', 'Adult']",279,Modern Library,2000,2998241,94,
Twilight,The Twilight Saga #1,Stephenie Meyer,3.6,English,"['Young Adult', 'Fantasy', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Teen', 'Urban Fantasy']",501,"Little, Brown and Company",2006,4964519,78,2.1
The Book Thief,,Markus Zusak (Goodreads Author),4.37,English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']",552,Alfred A. Knopf,2006,1834276,96,3.8
Animal Farm,,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",3.95,English,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'School', 'Science Fiction', 'Novels', 'Read For School']",141,Signet Classics,1996,2740713,91,4.42
The Chronicles of Narnia,The Chronicles of Narnia (Publication Order) #1–7,"C.S. Lewis, Pauline Baynes (Illustrator)",4.26,English,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Science Fiction Fantasy', 'Middle Grade', 'Christian Fiction']",767,HarperCollins,2002,517740,96,
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,The Lord of the Rings #0-3,J.R.R. Tolkien,4.6,English,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Magic']",1728,Ballantine Books,2012,110146,98,21.15
Gone with the Wind,,Margaret Mitchell,4.3,English,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Civil War', 'Historical Romance', 'Novels']",1037,Warner Books,1999,1074620,94,5.58
The Fault in Our Stars,,John Green (Goodreads Author),4.21,English,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']",313,Dutton Books,2012,3550714,93,
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy #1,Douglas Adams,4.22,English,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']",193,Del Rey,2007,1436325,94,
The Giving Tree,,Shel Silverstein,4.37,English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']",64,HarperCollins Publishers,1964,905731,94,4.87
Wuthering Heights,,"Emily Brontë, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Brontë (Commentary), Robert Heindel (Illustrator)",3.86,English,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Literature', 'Historical Fiction', '19th Century', 'Novels', 'Classic Literature', 'Historical']",464,Norton,2002,1342664,88,2.73
The Da Vinci Code,Robert Langdon #2,Dan Brown (Goodreads Author),3.86,English,"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Mystery Thriller', 'Historical Fiction', 'Adventure', 'Novels', 'Crime', 'Adult']",489,Anchor,2006,1933446,89,
Memoirs of a Geisha,,Arthur Golden,4.12,English,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult', 'Novels', 'Asia', 'Adult Fiction']",503,Vintage Books USA,2005,1717312,95,2.76
The Picture of Dorian Gray,,"Oscar Wilde, Jeffrey Eugenides (Introduction)",4.08,English,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Gothic', 'Novels', '19th Century', 'LGBT', 'Classic Literature']",272,Random House: Modern Library,2004,966196,94,
Alice's Adventures in Wonderland & Through the Looking-Glass,Alice's Adventures in Wonderland #1-2,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",4.06,English,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure', 'Novels', '19th Century', 'British Literature']",239,Penguin Group (USA),2000,458299,94,3.07
Jane Eyre,,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)",4.13,English,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Gothic', 'Historical', '19th Century', 'School', 'Classic Literature']",532,Penguin,2003,1624682,93,5.46
Les Misérables,,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)",4.18,English,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', 'French Literature', 'Romance', 'Classic Literature']",1463,Signet Classics,1987,682793,93,
Fahrenheit 451,,Ray Bradbury,3.99,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",194,Simon & Schuster,2011,1680139,92,
Divergent,Divergent #1,Veronica Roth (Goodreads Author),4.19,English,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",487,Katherine Tegen Books,2012,2906258,94,0.88
Lord of the Flies,,William Golding,3.69,English,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']",182,Penguin Books,1999,2263259,86,1.89
Romeo and Juliet,,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)",3.75,English,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School', 'Literature', 'High School', 'Poetry']",301,Simon Schuster,2004,2055102,87,6.79
The Alchemist,,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",3.88,English,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Inspirational', 'Adventure']",182,HarperOne,2014,2107732,87,13.22
Crime and Punishment,,"Fyodor Dostoyevsky, David McDuff (Translator)",4.22,English,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']",671,Penguin,2002,626897,94,18.85
The Perks of Being a Wallflower,,Stephen Chbosky,4.2,English,"['Young Adult', 'Fiction', 'Contemporary', 'Coming Of Age', 'Romance', 'Realistic Fiction', 'LGBT', 'Classics', 'Mental Health', 'Teen']",213,MTV Books/Pocket Books,1999,1250155,94,
The Great Gatsby,,"F. Scott Fitzgerald, Francis Scott Fitzgerald",3.92,English,"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']",200,Scribner,2004,3775504,90,
City of Bones,The Mortal Instruments #1,Cassandra Clare (Goodreads Author),4.1,English,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Vampires', 'Supernatural', 'Angels', 'Magic']",485,Margaret K. McElderry Books,2007,1617465,92,6.29
Ender's Game,Ender's Saga #1,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",4.3,English,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War', 'Audiobook', 'Adventure']",324,Macmillan Audio,2004,1131303,95,4.6
The Help,,Kathryn Stockett (Goodreads Author),4.47,English,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",451,Amy Einhorn Books/G.P. Putnam's Sons,2009,2164011,98,
Anne of Green Gables,Anne of Green Gables #1,L.M. Montgomery,4.26,English,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Middle Grade', 'Historical', 'Audiobook', 'Canada', 'Coming Of Age']",320,Signet Book,2003,727685,95,6.07
Harry Potter and the Sorcerer's Stone,Harry Potter #1,"J.K. Rowling, Mary GrandPré (Illustrator)",4.47,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Classics', 'Audiobook', 'Science Fiction Fantasy']",309,Scholastic Inc,2003,7048471,96,
The Little Prince,,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)",4.31,English,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Young Adult', 'Philosophy', 'Literature', 'French Literature', 'Middle Grade']",93,"Harcourt, Inc.",2000,1363048,95,
Charlotte's Web,,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",4.17,English,"['Classics', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Middle Grade', 'Juvenile', 'School', 'Chapter Books']",184,HarperCollinsPublishers,2001,1417302,94,6.15
Of Mice and Men,,John Steinbeck,3.88,English,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']",103,Penguin Books,2002,1942168,90,5.75
The Time Traveler's Wife,,Audrey Niffenegger (Goodreads Author),3.97,English,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Chick Lit', 'Adult Fiction', 'Magical Realism']",500,Zola Books,2013,1573857,91,
Dracula,Dracula #1,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",4,English,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']",488,Norton,1986,938325,93,4.55
Brave New World,,Aldous Huxley,3.99,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy']",288,HarperPerennial / Perennial Classics,1998,1441287,92,3.78
One Hundred Years of Solitude,,"Gabriel García Márquez, Gregory Rabassa (Translator)",4.08,English,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Novels', 'Fantasy', 'Historical Fiction', 'Spanish Literature', 'Literary Fiction', 'Latin American']",417,Harper,2003,753470,90,
The Catcher in the Rye,,J.D. Salinger,3.81,English,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']",277,Back Bay Books,2001,2736523,86,2.6
The Princess Bride,,William Goldman,4.26,English,"['Fantasy', 'Fiction', 'Classics', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Science Fiction Fantasy', 'Comedy', 'Fairy Tales']",456,Ballantine Books,2003,779597,95,6.23
The Lightning Thief,Percy Jackson and the Olympians #1,Rick Riordan (Goodreads Author),4.26,English,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']",375,Disney Hyperion Books,2006,1992300,95,1.79
The Secret Garden,,Frances Hodgson Burnett,4.13,English,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Literature', 'Fantasy', 'Historical', 'Audiobook']",331,Children's Classics,1998,891374,95,3.33
A Thousand Splendid Suns,,Khaled Hosseini (Goodreads Author),4.38,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'War', 'Adult Fiction', 'Adult', 'Drama', 'Literature']",372,Riverhead Books,2007,1151288,97,1.16
A Wrinkle in Time,Time Quintet #1,Madeleine L'Engle,4,English,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']",218,Square Fish,2017,1051535,91,4.8
A Game of Thrones,A Song of Ice and Fire #1,George R.R. Martin,4.45,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Dragons', 'Audiobook', 'Epic']",835,Bantam,2005,2003043,96,4.01
The Adventures of Huckleberry Finn,Adventures of Tom and Huck #2,"Mark Twain, Guy Cardwell (Notes), John Seelye (Introduction), Walter Trier (Ilustrator)",3.82,English,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School', 'Novels', 'Read For School', 'American']",327,Penguin Classics,2002,1151767,90,6.99
The Lovely Bones,,Alice Sebold,3.82,English,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Adult', 'Adult Fiction', 'Drama', 'Novels']",372,"Little, Brown and Company",2006,2014401,89,1.91
The Outsiders,,S.E. Hinton (Goodreads Author),4.1,English,"['Classics', 'Young Adult', 'Fiction', 'School', 'Realistic Fiction', 'Read For School', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Teen']",192,Puffin Books (US/CAN),1997,938150,94,
Where the Wild Things Are,,Maurice Sendak,4.22,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals', 'Kids', 'Monsters']",37,Red Fox,2000,816934,93,3.67
Green Eggs and Ham,,Dr. Seuss,4.3,English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor', 'Kids', 'Food', 'Young Adult']",62,Random House Books for Young Readers,1988,616631,95,2.98
The Odyssey,,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",3.77,English,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature', 'Adventure', 'Read For School', 'Historical Fiction']",541,Penguin Classics,2006,861486,87,3.65
Life of Pi,,Yann Martel,3.91,English,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Novels', 'Literature', 'Magical Realism', 'India', 'Philosophy']",460,Seal Books,2006,1339076,90,2.86
A Tale of Two Cities,,"Charles Dickens, Richard Maxwell (Editor/Introduction)",3.85,English,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School', 'Classic Literature', '19th Century', 'British Literature']",489,Penguin Books,2003,810000,88,1.12
Water for Elephants,,Sara Gruen (Goodreads Author),4.09,English,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Animals']",335,Algonquin Books,2007,1379584,94,3.46
Lolita,,"Vladimir Nabokov, Craig Raine (Afterword)",3.89,English,"['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature', 'Literary Fiction', '20th Century', 'Adult']",331,Penguin,1995,663069,89,
Slaughterhouse-Five,,Kurt Vonnegut Jr.,4.08,English,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels', 'Time Travel', 'American', 'Fantasy']",275,Dial Press,1999,1129210,92,8.5
Frankenstein: The 1818 Text,,"Mary Wollstonecraft Shelley, Charlotte Gordon (Goodreads Author) (Introduction)",3.81,English,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Gothic', 'Fantasy', 'School', 'Literature', 'Novels', '19th Century']",288,Penguin Classics,2018,1162638,89,8.75
The Kite Runner,,"Khaled Hosseini (Goodreads Author), Berliani M. Nugrahani (Translator)",4.3,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Classics', 'Novels', 'Historical', 'Literature', 'Adult', 'Adult Fiction', 'Drama']",371,Riverhead Books,2004,2424976,95,
The Handmaid's Tale,The Handmaid's Tale #1,Margaret Atwood (Goodreads Author),4.11,English,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",314,Anchor Books,1998,1459245,93,
The Giver,The Giver #1,Lois Lowry (Goodreads Author),4.13,English,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School', 'Childrens', 'Middle Grade', 'Read For School']",208,Ember,2006,1785054,94,7.15
Catch-22,Catch-22 #1,Joseph Heller,3.98,English,"['Classics', 'Fiction', 'War', 'Historical Fiction', 'Humor', 'Literature', 'Novels', 'Unfinished', 'American', 'Historical']",453,Simon & Schuster,2004,723147,90,3.32
Dune,Dune #1,Frank Herbert,4.23,English,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Audiobook', 'Novels', 'Adventure', 'Adult']",661,Ace Books,2019,765785,94,29.34
The Pillars of the Earth,Kingsbridge #1,Ken Follett (Goodreads Author),4.31,English,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook', 'British Literature', 'Novels', 'Adult']",976,NAL Trade,2002,648793,95,
The Stand,,"Stephen King (Goodreads Author), Bernie Wrightson (Illustrator)",4.34,English,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia', 'Apocalyptic', 'Audiobook', 'Classics']",1153,Doubleday Books,1990,616021,96,8.38
The Adventures of Sherlock Holmes,Sherlock Holmes #3,Arthur Conan Doyle,4.3,English,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Detective', 'Literature', 'Mystery Thriller', 'Adventure', 'Audiobook']",389,Oxford University Press,1998,243129,98,
Watership Down,Watership Down #1,Richard Adams,4.06,English,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure', 'Literature', 'Novels', 'Audiobook']",478,Avon Books,1975,433754,91,5.25
Great Expectations,,"Charles Dickens, Παυλίνα Παμπούδη (Translator), Marisa Sestino (Translator)",3.78,English,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century', 'Classic Literature', 'British Literature', 'Victorian']",505,Oxford University Press,1998,651506,87,0.85
Little Women,Little Women #1,Louisa May Alcott,4.09,English,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classic Literature', 'Novels']",449,Signet Classics,2004,1681583,93,5.51
The Bell Jar,,Sylvia Plath,4.01,English,"['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Mental Illness', 'Literature', 'Novels', 'Poetry', 'Adult']",294,Harper Perennial Modern Classics,2006,591175,93,
Harry Potter and the Deathly Hallows,Harry Potter #7,J.K. Rowling,4.62,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",759,Arthur A. Levine Books / Scholastic Inc.,2007,2811637,98,2.85
One Flew Over the Cuckoo's Nest,,Ken Kesey,4.19,English,"['Classics', 'Fiction', 'Literature', 'Psychology', 'Novels', 'School', 'Mental Health', 'American', 'Mental Illness', 'Contemporary']",325,Signet,1963,630948,96,
Anna Karenina,,"Leo Tolstoy, Aylmer Maude (Translator), Lev Tolstoi, Louise Maude (Translator), George Gibian (Preface)",4.05,English,"['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Literature', 'Russian Literature', 'Novels', '19th Century', 'Classic Literature']",964,Vintage,2012,681953,92,
Outlander,Outlander #1,Diana Gabaldon (Goodreads Author),4.23,English,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance', 'Adult', 'Audiobook', 'Scotland']",850,Dell Publishing Company,2005,824014,92,5.98
My Sister's Keeper,,Jodi Picoult (Goodreads Author),4.08,English,"['Fiction', 'Contemporary', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'Family', 'Novels']",423,Washington Square Press,2005,1056676,94,2.76
Matilda,,"Roald Dahl, Quentin Blake (Illustrator)",4.32,English,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Humor', 'Audiobook', 'Magic', 'Juvenile']",240,Puffin Books,1998,647667,97,6.01
The Fellowship of the Ring,The Lord of the Rings #1,J.R.R. Tolkien,4.36,English,"['Classics', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy', 'Young Adult', 'Novels', 'Magic', 'Literature', 'Audiobook']",527,Ballantine Books,1973,2355237,95,
The Girl with the Dragon Tattoo,Millennium #1,"Stieg Larsson, Reg Keeland (Translator)",4.14,English,"['Fiction', 'Mystery', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Sweden', 'Thriller', 'Audiobook', 'Crime']",465,Knopf,2008,2607860,93,
Rebecca,,Daphne du Maurier,4.23,English,"['Classics', 'Fiction', 'Mystery', 'Romance', 'Gothic', 'Historical Fiction', 'Thriller', 'Suspense', 'Mystery Thriller', 'Adult']",449,"Little, Brown and Company",2013,450276,96,
1984,,George Orwell,4.19,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",237,Houghton Mifflin Harcourt,2013,3140442,94,
The Color Purple,The Color Purple Collection #1,Alice Walker,4.22,English,"['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'Historical', 'LGBT', 'African American', 'Literature', 'Novels', 'Adult']",304,Penguin Books,2019,521200,95,13.75
A Tree Grows in Brooklyn,,Betty Smith,4.27,English,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'Literature', 'New York', 'Novels', 'Book Club']",496,HarperCollins Publishers,2006,388454,96,5.01
A Clockwork Orange,,Anthony Burgess,3.99,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Horror', 'Thriller', 'Crime', 'Modern Classics']",240,W. W. Norton & Company,2019,601048,92,13.05
The Road,,Cormac McCarthy,3.97,English,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature', 'Novels', 'Apocalyptic', 'Contemporary']",241,Alfred A. Knopf,2006,716197,90,6.83
The Brothers Karamazov,The Brothers Karamazov #1-4,"Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)",4.32,English,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', '19th Century', 'Classic Literature', 'Religion']",796,"Farrar, Straus and Giroux",2002,243271,95,5.51
Angela's Ashes,Frank McCourt #1,Frank McCourt,4.11,English,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir', 'History', 'Irish Literature', 'Historical']",452,Harper Perennial,2005,539576,94,2.76
Vampire Academy,Vampire Academy #1,Richelle Mead (Goodreads Author),4.12,English,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Supernatural', 'Paranormal Romance', 'Magic']",332,Razorbill,2007,548959,92,3.33
Siddhartha,,"Hermann Hesse, Hilda Rosner (Translator)",4.03,English,"['Classics', 'Fiction', 'Philosophy', 'Religion', 'Spirituality', 'Literature', 'Buddhism', 'German Literature', 'Novels', 'Historical Fiction']",152,Bantam Books,1981,582674,92,
The Poisonwood Bible,,Barbara Kingsolver,4.06,English,"['Fiction', 'Historical Fiction', 'Africa', 'Classics', 'Historical', 'Literary Fiction', 'Literature', 'Novels', 'Religion', 'Adult Fiction']",546,Harper Perennial Modern Classics,2005,658743,91,4.12
The Golden Compass,His Dark Materials #1,Philip Pullman,3.99,English,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Science Fiction Fantasy', 'Steampunk', 'Middle Grade', 'Audiobook']",399,Alfred A. Knopf Books for Young Readers,1996,1284131,91,1.61
Don Quixote,,"Miguel de Cervantes Saavedra, John Rutherford (Translator), Roberto González Echevarría (Introduction)",3.88,English,"['Classics', 'Fiction', 'Literature', 'Spanish Literature', 'Adventure', 'Novels', 'Historical Fiction', 'Spain', 'Humor', 'Classic Literature']",1023,Penguin Books,2003,209688,90,9.04
Atlas Shrugged,,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",3.69,English,"['Classics', 'Philosophy', 'Literature', 'Politics', 'Science Fiction', 'Dystopia', 'Economics', 'Novels', 'Audiobook', 'Fiction']",1168,Plume,1999,353814,80,4.41
Harry Potter and the Prisoner of Azkaban,Harry Potter #3,"J.K. Rowling, Mary GrandPré (Illustrator)",4.57,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Middle Grade', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",435,Scholastic Inc.,2004,2806471,99,5.94
The Old Man and the Sea,,Ernest Hemingway,3.78,English,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure', 'Classic Literature', 'Literary Fiction', '20th Century']",96,Scribner,1996,831152,87,15.63
The Notebook,The Notebook #1,Nicholas Sparks (Goodreads Author),4.11,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Love', 'Drama', 'Classics']",227,Grand Central Publishing,2000,1331152,91,
Winnie-the-Pooh,Winnie-the-Pooh #1,"A.A. Milne, Ernest H. Shepard (Illustrator)",4.34,English,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Picture Books', 'Young Adult', 'Audiobook', 'Middle Grade', 'Juvenile']",145,Dutton Juvenile,2001,270388,96,5.3
The Complete Stories and Poems,,Edgar Allan Poe,4.38,English,"['Classics', 'Poetry', 'Horror', 'Fiction', 'Short Stories', 'Mystery', 'Gothic', 'Literature', 'Fantasy', 'Classic Literature']",821,"Doubleday & Company, Inc.",1984,220153,97,5.27
Interview with the Vampire,The Vampire Chronicles #1,Anne Rice,4,English,"['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Supernatural', 'Classics', 'Gothic', 'Urban Fantasy', 'Historical Fiction']",342,Ballantine Books,2004,484530,93,2.66
A Prayer for Owen Meany,,John Irving (Goodreads Author),4.23,English,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'Historical Fiction', 'Adult Fiction', 'Coming Of Age', 'American']",637,Black Swan,1990,285954,94,2.86
"Moby-Dick or, the Whale",,"Herman Melville, Andrew Delbanco (Introduction), Tom Quirk (Notes), Rockwell Kent (Illustrator)",3.51,English,"['Classics', 'Fiction', 'Literature', 'Adventure', 'Novels', 'Historical Fiction', 'American', 'Classic Literature', '19th Century', 'Unfinished']",654,Penguin Classics,2003,479125,79,1.87
